pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
e,1,0,13,13,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.548235,,,,,,,,,,,,,,,,,,,,,,,
e,0,0,14,14,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.01157,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,15,15,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.000595,,,,,,,,,,,,,,,,,,,,,,,
i,0,0,16,16,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.013985,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,17,17,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.04998,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,18,18,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.026635,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,19,19,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.10216,,,,,,,,,,,,,,,,,,,,,,,
i,0,0,20,20,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.040735,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,21,21,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.12868,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,22,22,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.140805,,,,,,,,,,,,,,,,,,,,,,,
e,0,0,23,23,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.250885,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,space,1.052375,space,0.736185,,0,0,0,0,46,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,i,1,0,1,1,3,1,1.6,1.105025,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,2,2,35,1,0.1,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,3,3,5,1,1.6,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,4,4,6,1,1.6,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,5,5,15,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,6,6,47,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,7,7,33,1,0.6,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,8,8,22,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,9,9,23,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,10,10,14,1,0.5,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,e,1,0,11,11,42,1,0.9,1.045945,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,e,1,0,12,12,0,1,1.6,0.111055,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,e,0,0,13,13,9,1,1.6,0.05063,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,i,0,0,14,14,2,1,1.6,0.054555,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,15,15,25,1,0.5,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,16,16,32,1,1.3,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,17,17,38,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,18,18,24,1,1.1,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,19,19,34,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,20,20,44,1,0.5,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,21,21,27,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,22,22,39,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,23,23,18,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,24,24,11,1,1.6,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,25,25,41,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,26,26,40,1,1.2,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,0,0,27,27,19,1,1,,,,,,,,,,,
